cnpj;empresa;exercicio;remuneracao_total;remuneracao_diretoria;remuneracao_conselho_adm;remuneracao_conselho_fiscal;receita;acoes_integralizadas;acoes_tesouraria;acoes_ex_tesouraria;origem_acoes;tickers;preco_medio_ponderado;precos_por_classe;market_cap;rem_sobre_receita_pct;rem_sobre_market_cap_pct;previsao;parcela_previsao;receita_origem;alertas_mercado;setor;apelido
28.594.234/0001-23;AUREN ENERGIA S.A.;2025;31941967.19;27800767.19;4141200.0;;13176952000.0;1050378000.0;5850000.0;1044528000.0;DFP (corrigido de milhares);ON:AURE3;11.869999885559082;AURE3 11.87;12398547240.463257;0.24240785873698256;0.25762669263182586;False;0.0;DRE_con 2025;quantidade de acoes da DFP estava em milhares;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;2026;47505976.02;42950656.02;4555320.0;;;1050377974.0;5742920.0;1044635054.0;FRE;ON:AURE3;11.380000114440918;AURE3 11.38;11887947034.068995;;0.3996146339132847;True;1.0;;;Utilities;Auren
00.001.180/0001-26;AXIA ENERGIA S.A.;2019;6663282.3100000005;5707520.05;597351.44;358410.82;27725527000.0;;;;;ON:AXIA3/PN:AXIA7;;;;0.024033023105385878;;False;0.0;DRE_con 2019;sem quantidade de acoes;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;2020;7220898.96;6310871.99;582336.02;327690.95;29080513000.0;1568930910.0;0.0;1568930910.0;DFP;ON:AXIA3/PN:AXIA7;36.66999816894531;AXIA3 36.67;57532693596.9017;0.024830713818562968;0.012550948875421445;False;0.0;DRE_con 2020;empresa tem ON e PN, mas so um preco disponivel: market cap aproximado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;2021;6861306.15;6044889.44;489995.11;326421.6;37616241000.0;1568931000.0;0.0;1568931000.0;DFP (corrigido de milhares);ON:AXIA3/PN:AXIA7;33.40999984741211;AXIA3 33.41;52417984470.60013;0.018240275922307068;0.013089603156810287;False;0.0;DRE_con 2021;"empresa tem ON e PN, mas so um preco disponivel: market cap aproximado; quantidade de acoes da DFP estava em milhares";Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;2022;8921048.92;8084998.44;459824.38;376226.1;34074233000.0;2301228000.0;0.0;2301228000.0;DFP (corrigido de milhares);ON:AXIA3/PN:AXIA7;42.119998931884766;AXIA3 42.12;96927720902.02332;0.026181217109127592;0.009203815829960134;False;0.0;DRE_con 2022;"empresa tem ON e PN, mas so um preco disponivel: market cap aproximado; quantidade de acoes da DFP estava em milhares";Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;2023;92349167.54;79598409.85;12035712.26;715045.43;37158908000.0;2307099000.0;56652000.0;2250447000.0;DFP (corrigido de milhares);ON:AXIA3/PN:AXIA7;42.43000030517578;AXIA3 42.43;95486466896.78192;0.24852497694496298;0.09671440418863414;False;0.0;DRE_con 2023;"empresa tem ON e PN, mas so um preco disponivel: market cap aproximado; quantidade de acoes da DFP estava em milhares";Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;2024;73052804.5;61057051.59;11341724.13;654028.78;40181552000.0;2307099000.0;59465000.0;2247634000.0;DFP (corrigido de milhares);ON:AXIA3/PN:AXIA7;34.130001068115234;AXIA3 34.13;76711750820.73212;0.18180682642621668;0.09523026618270945;False;0.0;DRE_con 2024;"empresa tem ON e PN, mas so um preco disponivel: market cap aproximado; quantidade de acoes da DFP estava em milhares";Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;2025;76007976.53999999;65756888.93;9517833.34;733254.27;41281596000.0;2915428000.0;75980000.0;2839448000.0;DFP (corrigido de milhares);ON:AXIA3/PN:AXIA7;50.61000061035156;AXIA3 50.61;143704465013.06152;0.1841207315240428;0.05289186841417315;False;0.0;DRE_con 2025;"empresa tem ON e PN, mas so um preco disponivel: market cap aproximado; quantidade de acoes da DFP estava em milhares";Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;2026;92182107.6;77230887.48;14092496.85;858723.27;;2916305490.0;75858025.0;2840447465.0;FRE;ON:AXIA3/PN:AXIA7;55.875111843163;AXIA3 54.49 / AXIA7 54.14;158710319791.5038;;0.05808198718337833;True;1.0;;;Utilities;Eletrobras
