cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;salario;beneficios;participacoes_comites;outros_fixos;bonus;participacao_resultados;participacao_reunioes;comissoes;outros_variaveis;pos_emprego;cessacao_cargo;baseada_acoes;total_orgao;total_empresa;soma_verbas;dif_soma_total;alertas_82;desc_outras_fixas;desc_outras_variaveis;observacao;previsao;fre;data_referencia;versao;id_documento
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2021;7.0;5.0;2005557.6;0.0;666000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2671557.6;17939196.16;2671557.6;0.0;;;;* Valores não consideram encargos de ônus do empregador. Para permitir a comparação com anos anteriores, o item 8.20 deste Formulário de Referência traz informações sobre valores dos encargos de ônus do empregador do exercício de 2021.;False;2024;2024-12-31;23;147415
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2021;3.0;3.0;455647.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;455647.68;17939196.16;455647.68;0.0;;;;* Valores não consideram encargos de ônus do empregador. Para permitir a comparação com anos anteriores, o item 8.20 deste Formulário de Referência traz informações sobre valores dos encargos de ônus do empregador do exercício de 2021.;False;2024;2024-12-31;23;147415
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2022;2.75;2.75;5987100.0;149778.61;0.0;0.0;6420030.18;2452140.0;0.0;0.0;0.0;0.0;0.0;6372137.99;21381186.78;24844469.82;21381186.78;0.0;;;;* Valores não consideram encargos de ônus do empregador. Para permitir a comparação com anos anteriores, o item 8.20 deste Formulário de Referência traz informações sobre valores dos encargos de ônus do empregador para o exercício de 2022.;False;2025;2025-12-31;27;157959
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2022;7.0;5.0;2248083.2;0.0;686400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2934483.2;24844469.82;2934483.2;0.0;;;;* Valores não consideram encargos de ônus do empregador. Para permitir a comparação com anos anteriores, o item 8.20 deste Formulário de Referência traz informações sobre valores dos encargos de ônus do empregador para o exercício de 2022.;False;2025;2025-12-31;27;157959
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2022;3.0;3.0;528799.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;528799.84;24844469.82;528799.84;0.0;;;;* Valores não consideram encargos de ônus do empregador. Para permitir a comparação com anos anteriores, o item 8.20 deste Formulário de Referência traz informações sobre valores dos encargos de ônus do empregador para o exercício de 2022.;False;2025;2025-12-31;27;157959
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2023;3.0;3.0;6595132.18;208341.43;0.0;0.0;4237937.88;748809.79;0.0;0.0;0.0;0.0;0.0;3985422.89;15775644.17;19925445.92;15775644.17;0.0;;;;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;False;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2023;7.67;5.67;2546703.42;0.0;1023078.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3569781.75;19925445.92;3569781.75;0.0;;-;-;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;False;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2023;3.0;3.0;580020.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;580020.0;19925445.92;580020.0;0.0;;-;-;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;False;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2024;3.42;3.42;7748463.82;264517.58;0.0;0.0;18849342.57;0.0;0.0;0.0;0.0;0.0;0.0;2341000.0;29203323.97;34929336.62;29203323.97;0.0;;0;-;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;False;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2024;8.75;6.75;4065305.15;0.0;890507.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4955812.65;34929336.62;4955812.65;0.0;;-;-;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;False;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2024;3.0;3.0;770200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;770200.0;34929336.62;770200.0;0.0;;-;-;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;False;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2025;5.0;5.0;12255332.33;421607.45;0.0;0.0;4992880.67;5619577.46;0.0;0.0;0.0;0.0;1478533.88;6558271.79;31326203.58;43826610.11;31326203.58;0.0;;;;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais. O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;False;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2025;8.0;6.0;3924815.48;0.0;700000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2044692.5;5414898.55;12084406.53;43826610.11;12084406.53;0.0;;-;-;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais. O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;False;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2025;1.25;1.25;416000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;416000.0;43826610.11;416000.0;0.0;;;;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;False;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2026;4.92;4.92;13936016.59;465662.45;0.0;0.0;13816320.0;12300000.0;0.0;0.0;0.0;0.0;0.0;6811008.75;47329007.79;59059609.24;47329007.79;0.0;;;;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;True;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2026;8.33;6.33;4680000.0;0.0;774000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6276601.45;11730601.45;59059609.24;11730601.45;0.0;;;;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.O número de membros remunerados de cada órgão corresponde ao número de membros dos órgãos aos quais foram atribuídas remunerações reconhecidas no resultado do exercício ou aos quais serão atribuídas remunerações, correspondendo à média anual de número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais.Para evitar duplicidade, os valores computados como remuneração dos diretores que também fazem parte do conselho de administração foram descontados da remuneração desse último órgão.;True;2026;2026-12-31;3;161117
