cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;total_orgao;salario;beneficios;bonus;participacao_resultados;baseada_acoes;previsao;fre;data_referencia;versao;id_documento
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2022;3.0;3.0;484350.0;484350.0;0.0;0.0;0.0;0.0;True;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2022;3.0;3.0;300000.0;300000.0;0.0;0.0;0.0;0.0;False;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2022;3.0;3.0;300000.0;300000.0;0.0;0.0;0.0;0.0;False;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2022;2.0;2.0;300000.0;300000.0;0.0;0.0;0.0;0.0;False;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2023;3.0;3.0;496944.0;496944.0;0.0;0.0;0.0;0.0;True;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2023;3.0;3.0;472932.0;472932.0;0.0;0.0;0.0;0.0;False;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2023;3.0;3.0;472932.0;472932.0;0.0;0.0;0.0;0.0;False;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2023;3.0;3.0;472932.0;472932.0;0.0;0.0;0.0;0.0;False;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2024;3.0;3.0;545002.5;545002.5;0.0;0.0;0.0;0.0;True;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2024;1.0;1.0;155216.0;155216.0;0.0;0.0;0.0;0.0;False;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2024;1.0;1.0;155216.0;155216.0;0.0;0.0;0.0;0.0;False;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2025;2.0;2.0;405000.0;405000.0;0.0;0.0;0.0;0.0;True;2025;2025-12-31;9;157300
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2025;3.0;3.0;312000.0;312000.0;0.0;0.0;0.0;0.0;False;2026;2026-12-31;3;159084
45.242.914/0001-05;C&A MODAS S.A.;Conselho Fiscal;2026;3.0;3.0;522000.0;522000.0;0.0;0.0;0.0;0.0;True;2026;2026-12-31;3;159084
