cnpj;empresa;orgao;exercicio;previsto_maxima;realizado_maxima;desvio_maxima;desvio_maxima_pct;previsto_media;realizado_media;desvio_media;desvio_media_pct;previsto_minima;realizado_minima;desvio_minima;desvio_minima_pct;fre_previsao;fre_realizado;situacao;setor;apelido
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho de Administração;2021;;0.0;;;;0.0;;;;0.0;;;;2024;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho Fiscal;2021;;0.0;;;;0.0;;;;0.0;;;;2022;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Diretoria Estatutária;2022;;9904235.57;;;;5294505.66;;;;366391.78;;;;2025;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho de Administração;2022;;540000.0;;;;630000.0;;;;450000.0;;;;2025;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Diretoria Estatutária;2023;;12643260.18;;;;7594996.57;;;;2586258.13;;;;2026;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho de Administração;2023;;720000.0;;;;631853.79;;;;600000.0;;;;2026;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Diretoria Estatutária;2024;;9561314.33;;;;6635246.09;;;;5814159.01;;;;2026;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho de Administração;2024;;800800.0;;;;675150.0;;;;640000.0;;;;2026;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Diretoria Estatutária;2025;;9871575.47;;;;5560153.44;;;;2337036.1;;;;2026;so realizado;Utilities;Auren
28.594.234/0001-23;AUREN ENERGIA S.A.;Conselho de Administração;2025;;841200.0;;;;690200.0;;;;660000.0;;;;2026;so realizado;Utilities;Auren
00.001.180/0001-26;AXIA ENERGIA S.A.;Diretoria Estatutária;2019;;1029791.51;;;;1006617.29;;;;984125.04;;;;2022;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Conselho de Administração;2019;;65284.32;;;;74668.93;;;;65284.32;;;;2022;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Conselho Fiscal;2019;;78341.16;;;;75454.91;;;;78341.16;;;;2022;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Diretoria Estatutária;2020;;1080385.71;;;;1051812.0;;;;889082.12;;;;2023;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Conselho de Administração;2020;;78341.16;;;;72792.0;;;;65284.32;;;;2023;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Conselho Fiscal;2020;;78341.16;;;;74138.22;;;;65283.32;;;;2023;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Diretoria Estatutária;2021;;1027824.23;;;;1105273.57;;;;821745.55;;;;2024;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Conselho de Administração;2021;;65284.32;;;;66037.08;;;;65284.32;;;;2024;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Conselho Fiscal;2021;;65284.32;;;;65284.32;;;;65284.32;;;;2024;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Diretoria Estatutária;2022;;1226608.08;;;;1277250.95;;;;928300.79;;;;2025;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Conselho de Administração;2022;;65284.32;;;;65689.2;;;;65284.32;;;;2025;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Conselho Fiscal;2022;;75859.76;;;;76468.72;;;;68045.01;;;;2025;so realizado;Utilities;Eletrobras
00.001.180/0001-26;AXIA ENERGIA S.A.;Diretoria Estatutária;2023;;19342394.01;;;;8097498.46;;;;4960915.75;;;;2026;so realizado;Utilities;Eletrobras
