cnpj;empresa;orgao;exercicio;previsto_total;realizado_total;desvio_total;desvio_total_pct;previsto_membros;realizado_membros;desvio_membros;desvio_membros_pct;fre_previsao;fre_realizado;situacao;previsto_por_membro;realizado_por_membro;desvio_por_membro_pct;setor;apelido
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2008;;6325600.0;;;;4.0;;;;2011;so realizado;;1581400.0;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2008;;1195900.0;;;;6.0;;;;2011;so realizado;;199316.66666666666;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2008;;390600.0;;;;5.0;;;;2011;so realizado;;78120.0;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2009;;8703700.0;;;;4.0;;;;2012;so realizado;;2175925.0;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2009;;1173600.0;;;;6.0;;;;2012;so realizado;;195600.0;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2009;;468200.0;;;;5.0;;;;2012;so realizado;;93640.0;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2010;7950800.0;8898190.0;947390.0;11.915656286159884;3.0;3.0;0.0;0.0;2010;2013;realizado;2650266.6666666665;2966063.3333333335;11.915656286159892;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2010;1322000.0;1098000.0;-224000.0;-16.944024205748864;6.0;5.0;-1.0;-16.666666666666668;2010;2013;realizado;220333.33333333334;219600.0;-0.3328290468986417;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2010;558000.0;549000.0;-9000.0;-1.6129032258064515;5.0;5.0;0.0;0.0;2010;2013;realizado;111600.0;109800.0;-1.6129032258064502;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2011;11921900.0;11737950.0;-183950.0;-1.542958756574036;4.0;4.0;0.0;0.0;2011;2014;realizado;2980475.0;2934487.5;-1.542958756574031;Consumo;Alpargatas
